iter	Passed	Remaining
2233	3844	3295
2234	3846	3293
2235	3847	3291
2236	3849	3290
2237	3851	3288
2238	3852	3286
2239	3854	3284
2240	3856	3283
2241	3858	3281
2242	3859	3279
2243	3861	3278
2244	3863	3276
2245	3864	3274
2246	3866	3272
2247	3868	3270
2248	3869	3269
2249	3871	3267
2250	3873	3265
2251	3874	3264
2252	3876	3262
2253	3878	3260
2254	3879	3258
2255	3881	3257
2256	3883	3255
2257	3885	3253
2258	3887	3252
2259	3888	3250
2260	3890	3248
2261	3891	3246
2262	3893	3245
2263	3895	3243
2264	3896	3241
2265	3898	3239
2266	3900	3238
2267	3902	3236
2268	3904	3234
2269	3905	3233
2270	3909	3232
2271	3912	3231
2272	3914	3230
2273	3916	3229
2274	3919	3228
2275	3921	3227
2276	3924	3226
2277	3926	3225
2278	3929	3223
2279	3931	3223
2280	3934	3221
2281	3936	3220
2282	3938	3218
2283	3939	3217
2284	3941	3215
2285	3944	3214
2286	3946	3213
2287	3948	3211
2288	3951	3211
2289	3953	3209
2290	3955	3207
2291	3957	3206
2292	3958	3204
2293	3960	3202
2294	3962	3201
2295	3964	3199
2296	3965	3197
2297	3967	3195
2298	3969	3193
2299	3971	3192
2300	3972	3190
2301	3974	3188
2302	3976	3187
2303	3977	3185
2304	3979	3183
2305	3981	3182
2306	3983	3180
2307	3984	3178
2308	3986	3176
2309	3988	3174
2310	3989	3173
2311	3998	3177
2312	4000	3175
2313	4002	3173
2314	4003	3172
2315	4005	3170
2316	4007	3168
2317	4008	3166
2318	4010	3164
2319	4012	3163
2320	4014	3161
2321	4016	3159
2322	4017	3158
2323	4019	3156
2324	4020	3154
2325	4022	3152
2326	4024	3151
2327	4025	3149
2328	4027	3147
2329	4029	3145
2330	4031	3144
2331	4032	3142
2332	4034	3140
2333	4036	3138
2334	4037	3136
2335	4039	3135
2336	4041	3133
2337	4042	3131
2338	4044	3130
2339	4046	3128
2340	4048	3126
2341	4049	3124
2342	4051	3123
2343	4053	3121
2344	4055	3119
2345	4056	3117
2346	4058	3116
2347	4060	3114
2348	4061	3112
2349	4063	3110
2350	4065	3109
2351	4067	3107
2352	4068	3105
2353	4070	3103
2354	4072	3102
2355	4073	3100
2356	4075	3098
2357	4077	3097
2358	4079	3095
2359	4081	3093
2360	4082	3091
2361	4084	3090
2362	4086	3088
2363	4087	3086
2364	4089	3084
2365	4091	3083
2366	4092	3081
2367	4094	3079
2368	4096	3077
2369	4097	3075
2370	4099	3074
2371	4101	3072
2372	4102	3070
2373	4104	3068
2374	4106	3067
2375	4108	3065
2376	4109	3063
2377	4111	3062
2378	4113	3060
2379	4114	3058
2380	4116	3056
2381	4117	3054
2382	4119	3053
2383	4121	3051
2384	4123	3049
2385	4125	3047
2386	4126	3046
2387	4128	3044
2388	4130	3042
2389	4132	3041
2390	4133	3039
2391	4135	3037
2392	4137	3035
2393	4138	3033
2394	4140	3032
2395	4142	3030
2396	4144	3028
2397	4145	3027
2398	4147	3025
2399	4149	3024
2400	4151	3022
2401	4153	3020
2402	4155	3019
2403	4157	3017
2404	4158	3015
2405	4160	3014
2406	4162	3012
